Timestamp,hours_of_sleep,gender,ap_classes,ec_hours,grade,ethnicity,Soc_econ_stat,num_siblings,el_12_effect,requirement,AD_Requirement,,
5/22/2024 14:49:26,5,Male,0-1,20+ Hours,Senior,Mixed,Medium,1,Increase,UNDER,UNDER,,
5/22/2024 14:49:49,6,Male,2-3,0-5 Hours,Senior,White,Medium,1,No/negligible change,UNDER,UNDER,,
5/22/2024 14:50:03,6,Male,0-1,5-10 Hours,Senior,White,High,0,No/negligible change,UNDER,UNDER,,
5/22/2024 14:50:04,8,Female,2-3,10-20 Hours,Senior,White,High,1,No/negligible change,MET,MET,,
5/22/2024 14:50:09,7,Male,0-1,0-5 Hours,Senior,Asian,No Response,1,No Response,UNDER,MET,,
5/22/2024 14:50:43,7,Male,2-3,0-5 Hours,Senior,White,Medium,1,Decrease,UNDER,MET,,
5/22/2024 14:51:21,7,Female,0-1,5-10 Hours,Senior,Black/African American,High,1,Increase,UNDER,MET,,
5/22/2024 14:51:39,7,Female,2-3,5-10 Hours,Senior,White,High,3+,Increase,UNDER,MET,,
5/23/2024 12:54:24,7,Male,2-3,0-5 Hours,Senior,Asian,High,1,No/negligible change,UNDER,MET,,
5/23/2024 12:54:37,6,Female,0-1,5-10 Hours,Sophomore,White,Medium,3+,No/negligible change,UNDER,UNDER,,
5/23/2024 12:55:19,8,Male,0-1,10-20 Hours,Freshman,Asian,Medium,1,Increase,MET,MET,,
5/23/2024 12:55:28,7,Female,0-1,10-20 Hours,Sophomore,White,Medium,0,Increase,UNDER,MET,,
5/23/2024 12:55:30,5,Female,0-1,0-5 Hours,Sophomore,Mixed,Medium,1,No/negligible change,UNDER,UNDER,,
5/23/2024 12:55:33,7,Female,0-1,5-10 Hours,Sophomore,White,Medium,2,No/negligible change,UNDER,MET,,
5/23/2024 12:56:52,7,Female,0-1,10-20 Hours,Junior,White,No Response,1,No/negligible change,UNDER,MET,,
5/23/2024 12:56:59,5,Female,0-1,0-5 Hours,Freshman,Prefer not to say,Medium,1,No/negligible change,UNDER,UNDER,,
5/23/2024 13:00:15,8,Prefer not to say,0-1,0-5 Hours,Sophomore,Asian,Medium,1,Increase,MET,MET,,
5/24/2024 10:02:24,6,Female,4+,10-20 Hours,Senior,White,High,3+,Decrease,UNDER,UNDER,,
5/24/2024 10:02:25,4,Female,0-1,20+ Hours,Junior,White,High,1,No/negligible change,UNDER,UNDER,,
5/24/2024 10:03:15,7,Female,0-1,5-10 Hours,Senior,White,High,0,No/negligible change,UNDER,MET,,
5/24/2024 10:03:51,8,Male,0-1,5-10 Hours,Junior,White,High,1,No/negligible change,MET,MET,,
5/24/2024 10:03:59,7,Female,0-1,0-5 Hours,Senior,White,Medium,1,No/negligible change,UNDER,MET,,
5/24/2024 12:30:30,5,Female,4+,0-5 Hours,Junior,Asian,Medium,0,No/negligible change,UNDER,UNDER,,
5/24/2024 18:38:04,6,Male,2-3,0-5 Hours,Junior,Asian,No Response,2,No/negligible change,UNDER,UNDER,,
5/30/2024 14:18:45,8,Female,0-1,5-10 Hours,Freshman,White,High,1,Decrease,MET,MET,,
5/30/2024 14:22:55,7,Male,0-1,5-10 Hours,Sophomore,White,Medium,3+,Decrease,UNDER,MET,,
5/30/2024 14:26:46,7,Prefer not to say,0-1,5-10 Hours,Sophomore,White,High,2,No/negligible change,UNDER,MET,,
5/30/2024 14:33:57,7,Prefer not to say,0-1,0-5 Hours,Sophomore,White,Low,,No/negligible change,UNDER,MET,,
5/30/2024 14:58:42,8,Male,0-1,0-5 Hours,Freshman,Asian,Medium,2,No/negligible change,MET,MET,,
5/30/2024 15:05:46,8,Female,0-1,10-20 Hours,Sophomore,White,Medium,2,No/negligible change,MET,MET,,
5/30/2024 20:10:59,6,Female,0-1,10-20 Hours,Freshman,White,Medium,2,No/negligible change,UNDER,UNDER,,
5/30/2024 23:40:18,7,Female,0-1,20+ Hours,Sophomore,White,Medium,0,Increase,UNDER,MET,,
5/31/2024 9:41:00,7,Female,0-1,0-5 Hours,Freshman,White,Medium,1,No/negligible change,UNDER,MET,,
5/31/2024 11:40:12,7,Female,0-1,0-5 Hours,Sophomore,White,Medium,1,Increase,UNDER,MET,,
